### TABLAS ###
Nombre tabla;Descripción tabla;Cantidad de columnas
tmMerchant;cMrAccessTrx;Tipo de acceso a la transacción Caracter 1 NO 0: Libre 1: Requiere Password 2: Requiere Login 3: Bloqueado;Caracter;1;NO;
tmMerchant;cMrCardWriter;Indicador de digitación de la tarjeta Caracter 1 NO 0: Permitido 1: Restringido 2: Requiere Password;Caracter;1;NO;
tmMerchant;cMrPropina;Indica como está configurada la propina Caracter 1 NO 0: Ingreso en línea o posterior 1: Porcentaje en propinas;Caracter;1;NO;
tmMerchant;cMrMoneyMult;Indicador de múltiples;;;;
tmMerchant;monedas;Caracter 1 NO 0: Soles 1: Soles y dólares;;1;;
tmMerchant;cMrLastNumber;Indicador para solicitar los 4 últimos dígitos Caracter 1 NO 0: No pide 1: Si pide;Caracter;4;NO;
tmMerchant;cMrReqDNI;Indicador para solicitar DNI Caracter 1 NO 0: No pide 1: Si pide;Caracter;1;NO;
tmMerchant;cMrProfileId;Perfil de comercio;;;;
tmMerchant;asociado;Caracter 15 SI;;;;
tmMerchant;cMrLimitAmount;Límite operativo en soles del comercio Numeric 24,2 NO;Numeric;24,2;NO;
tmMerchant;cMrSaldoAmount;Saldo en soles del;;;;
tmMerchant;comercio;Numeric 24,2 NO Diccionario de Campos V3 .0 16;;0;;
tmMerchant;cMrVoidKey;Clave para autorizar anular transacciones Caracter 16 NO;Caracter;16;NO;
tmMerchant;cMrSettleKey;Clave para autorizar cierre de turno Caracter 16 NO;Caracter;16;NO;
tmMerchant;cMrPaymentKey;Clave para autorizar anular pagos Caracter 16 NO;Caracter;16;NO;
tmMerchant;cMrDigitKey;Clave para autorizar digitar número de tarjeta Caracter 16 NO;Caracter;16;NO;
tmMerchant;cMrNetBin;Caracter 6 NO;;;;
tmMerchant;cMrOperatorReq;Caracter 1 NO;;;;
tmMerchant;cMrValOperator;Caracter 1 NO cMrLimitAmountDolla r Límite operativo en dólares del comercio Numeric 24,2 NO cMrSaldoAmountDoll ar Saldo en dólares del;Numeric;24,2;NO;
tmMerchant;comercio;Numeric 24,2 NO;;;;
tmMerchant;cMrModifyUser;Código de usuar io de última modificación del;;;;
tmMerchant;registro;Caracter 7 NO;;;;
tmMerchant;fMrModifyDate;Fecha de última;Caracter;8;NO;modificación del registro Caracter 8 NO AAAAMMDD
tmMerchant;hMrModifyTime;Hora de última;Caracter;6;NO;modificación del registro Caracter 6 NO HHMMSS
tmMerchant;cMrMerchantChain;Código de la cadena comerci al a la que pertenece el;;;;
tmMerchant;establecimiento;BigInt 8 SI;;;;
tmMerchant;cMrDownloadProfile;Perfil de download para actualizaciones remotas BigInt 8 SI;Bigint;8;SI;
tmMerchant;cMrForceUpdate;Flag indicador de inicio de download forzado en la siguiente transacción Caracter 1 NO 0: forzar actualiz ación Otro valor: no fuerza actualización;Caracter;1;NO;
tmMerchant;cMrLogicalStatus;Estado lógico de registro Caracter 1 NO 0: registro activo 1: registro eliminado;;1;;
tmMerchant;cMrConfigKey;Caracter 16 NO;;;;
tmMerchant;hMrBatchCloseHour;Caracter 4 NO;;;;
tmMerchant;cMrFlagBatchClose;Caracter 1 NO cMrEmail Addre ss Correo electrónico del comercio. Caracter 50 NO cMrMerchantPerfilIV A Id de Perfil IVA asociado al comercio (usado en Ecuador) BigInt 8 NO;Caracter;50;NO;
tmMerchant;cMrMerchantIdAd;Codigo de comercio adiciona l(usado en Ecuador) Caracter 15 NO Diccionario de Campos V3 .0 17;Caracter;15;NO;
tm MerchantChain;cMCChainID;Identificador de la cadena comercial BigInt 8 SI;Bigint;8;SI;
tm MerchantChain;cMCApplicationID;Aplicación de la cadena de comercio Caracter 20 NO;Caracter;20;NO;
tm MerchantChain;dMCChainName;Nombre de la cadena;;;;
tm MerchantChain;comercial;Caracter 30 SI;;;;
tm MerchantChain;dMCDescription;Descripción de la cadena;;;;
tm MerchantChain;comercial;Caracter 255 NO;;;;
tm MerchantChain;dMCRUC;Registro único de;;;;
tm MerchantChain;contribuyente;Caracter 20 NO;;;;
tm MerchantChain;cMCModifyUser;Código de usuario de última modificación del registr o Caracter 7 NO;Caracter;7;NO;
tm MerchantChain;fMCModifyDate;Fecha de última;Caracter;8;NO;modificación del registro Caracter 8 NO AAAAMMDD
