### TABLAS ###
Nombre tabla;Descripción tabla;Cantidad de columnas
tpRequestInstall;dRqRequestDescripWe;b Observaciones cRqExecutive1 Código de ejecutivo 1 encargado del comercio Caracter 7 NO cRqExecutive2 Código de ejecutivo 2 encargado del comercio Caracter 7 NO fRqValidationDate Fecha de hRqValidationTime Hora de cRqProfileId Id del per fil Varchar 15 NO cRqChainID Id de cadena Varchar 15 NO dRqAllyOperator Operador aliado Varchar 4 NO Código del operador aliado cRqMerchantAccount Varchar 15 NO cRqAgencyCode Varchar 4 NO Diccionario de Campos V3 .0 28;Caracter;1000;NO;Validación Caracter 8 NO AAAAMMDD, Validación Caracter 6 NO HHMMSS
TpRequestInstallLog;nRqlRequestN;cRqlStatus Código de estado de la instalación Caracter 3 SI;Int;4;SI;
TpRequestInstallLog;fRqlChangeSta;tusDate Fecha de modificación de estado de;Caracter;8;SI;AAAAMMDD
TpRequestInstallLog;hRqlChangeSt;atustime Hora de modificación de estado de;Caracter;6;SI;HHMMSS
TpRequestInstallLog;cRqlChageStat;usUser Usuario de última actualizació n de;Caracter;7;NO;
TpRequestInstallLog;fRqlModifyDate;CRM Fecha de última;Caracter;8;NO;AAAAMMDD
TpRequestInstallLog;hRqlModifyTime;CRM Hora de última dRqltitle Título del control de seguimiento de la instalación (acti vidad) Caracter 200 NO dRqlDescrip Descripción de control de segu imiento de la instalación Ntext 16 NO fRqlModifyDate Fecha de última hRqlModifyTime Hora de última Diccionario de Campos V3 .0 29;Caracter;6;NO;HHMMSS, modificación Caracter 8 NO AAAAMMDD, modificación Caracter 6 NO HHMMSS
TpRequestInstallType;nRqtRequestNu;cRqtInstallType Tipo de terminal (Tipo de Conexión del POS ) Caracter 2 SI;Int;4;SI;
TpRequestInstallType;nRqtRequestNu;;Caracter;20;NO;
TpRequestInstallType;nRqtPOSNumb;;Smallint;2;SI;
TpRequestInstallType;cRqtApplicationI;dRqtTerminalSN Número de s erie de terminal Caracter 15 NO cRqtModifyUser Usuario de última actualización Caracter 7 NO fRqtModifyDate Fecha de última cRqtDIR Código interno que el cliente usa para la identificación del POS, generado y administrado por la entidad financiera Caracter 10 NO nRqtSecuencial Número consecutivo de registro Int 4 SI numeroMovil Caracter 9 NO tipo_dispositivo Caracter 1 NO Diccionario de Campos V3 .0 30;Caracter;20;SI;modificación Caracter 8 NO AAAAMMDD, hRqtModifyTime Hora de última modificación Caracter 6 NO HHMMSS
tmUsuario;LEGACY;fBloqueoCuentaDate Fecha de ultimo fBloqueoCuentaTime Hora del ultimo bloqueo de la cuenta Caract er 6;Caracter;8;;
tmTasa;terminal;1 : fijo nTasaCant Valor de la tasa Numeric (3,2) SI fTasaCreacion Fecha de creación fTasaModificacion Fecha de modificación de la cTasaUser Usuario que realiza la última modificación el registro de la configuración de Tasa char 8 NO cLogicalStatus Campo de control que determina si el registro se encuentra vigente (1) o eliminado (0) Caracter 6 NO 0: eliminado 1 : activo hCODModifyTime Hora de;Char;1;SI;de la tasa varchar 8 NO AAAAMMDD, tasa varchar 8 NO AAAAMMDD, modificació n. Caracter 1 NO HHMMSS
taPerfilIvaTasa;encuentra;habilitada o deshabilitad a 1:habilitado nTasaTemporalId Id de la tasa temporal asociada Int 16 NO Diccionario de Campos V3 .0 37 fPerfilTasaFecDesde Fecha de inicio de fPerfilTasaFecHasta Fecha de fin de fPerfilCreacion Fecha de creación fPerfilModificacion Fecha de última modificación del cTasaUser Usuario que realiza la última modificación el registro de la configuración del perfil char 7 SI cLogicalStatus Campo de control que determina si el registro se encuentra vigente (1) o eliminado (0) char 1 SI 0: vigente 1 : eliminado hCODModifyTime Hora de;Char;1;SI;tasa temporal varchar 8 NO AAAAMMDD, tasa temporal varchar 8 NO AAAAMMDD, del registro varchar 8 SI AAAAMMDD, registro varchar 8 NO AAAAMMDD, modificación . varchar 8 NO HHMMSS
