MCC,Descripcion
5975,"Aparatos de Audicion-Tiendas de Ventas, Servicios y Materiales"
5976,Tiendas de Protesis
5977,Tiendas de Cosmeticos
5978,"Tiendas de Maquinas de Escribir-Alquiler, Ventas, Servicio"
5983,"Distribuidores de Combustible-Carbon, Aceite Combustible,"
5992,Floristerias
5993,Tiendas y Expendedores de Tabaco
5994,Vendedores de Periodicos y Kioscos de Periodicos
5995,Tiendas de Mascotas-Alimentos y Articulos para Mascotas
5996,Piscinas-Ventas y Materiales
5997,Tiendas de Maquinas de Afeitar Electricas-Ventas y Servicio
5998,Tiendas de Toldos
5999,Tiendas Minoristas Miscelaneas y de Especialidades
6010,Desembolso de Efectivo Manual-Institucion Financiera Cliente
6011,Desembolsos de Efectivo Automaticos-Institucion Financiera
6012,Mercancia y Servicios-Institucion Financiera Cliente
6050,Cuasi Efectivo-Institucion Financiera Cliente
6051,Cuasi Efectivo-Comercio
6211,Titulos Valores-Corredores/Vendedores
6300,"Venta de Seguros, Aseguradores y Primas de Seguros"
6513,Agentes y Administradores de Bienes Raices-Alquileres
6532,Transaccion de Pago-Institucion Financiera Cliente
6533,transaccion de Pago-Comercio
6536,MasterCardÂ® MoneySendâ„¢ Nacional
6537,MasterCardÂ® MoneySendâ„¢ Internacional
6538,Provision de fondos de MasterCardÂ® MoneySendâ„¢
7011,"Alojamiento-Hoteles, Moteles, Centros Turisticos-no"
7012,Tiempo Compartido
7032,Campamentos Recreativos
7033,Campamentos
7210,Servicios de Limpieza
7211,Servicios de Lavanderia-Familiar y Comercial
7216,Tintorerias
7217,Limpieza de Alfombras
7221,Estudios de Fotografia
7230,Barberias
7251,Establecimientos de Limpieza de Sombreros
7261,Crematorios
7273,Servicios de Contactos Personales
7276,Servicio de Preparacion de Impuestos
7277,Servicios de Consejeria
7278,"Clubes de Compras/Ventas, Servicios"
7296,Alquiler de Disfraces
7297,Establecimientos de Masajes
7298,Spas de Belleza
7299,Otros Servicios-no clasificados en otro lugar
7311,Servicios de Publicidad
7321,Agencias de Informes de Credito del Consumidor
7333,"Arte, Comercial"
7338,Servicios de Copias de Planos
7339,Servicios de Apoyo de Estenografia y Secretarial
7342,Servicios de Desinfeccion
7349,Limpieza y Mantenimiento
7361,Agencias de Empleo
7372,Servicios de Programacion de Computadoras
7375,Servicios de Recuperacion de Informacion2
7379,"Mantenimiento, Reparacion y Servicios de Computadoras-no"
7392,Servicios de Consultoria
7393,Agencias de Detectives
7394,Servicios de Alquiler y Arrendamiento de Equipos
7395,"Laboratorios de Revelado de Fotografias, Retoque de Fotografias"
7399,Servicios Comerciales-no clasificados en otro lugar
742,Servicios Veterinarios
7512,Agencia de Alquiler de Automoviles-no clasificada en otro
7513,Alquiler de Camiones
7519,Alquiler de Casas Moviles
7523,Estacionamientos y Garajes de Automoviles
7531,Taller de Reparacion de Carroceria de Automoviles
7534,Talleres de Recauchutado y Reparacion de Neumaticos
7535,Talleres de Pintura de Automoviles
7538,Talleres de Servicio Automotriz
7542,Lavado de Autos
7549,Servicios de Remolque
7622,Talleres de Reparacion de Articulos Electronicos
7623,Talleres de Reparacion de Aire Acondicionado
7629,"Talleres de Reparacion de Electrodomesticos, Electricos y"
763,Cooperativas Agricolas
7631,Tiendas de Reparacion de Relojes
7641,"Muebles-Retapizado y Reparacion, Reacabado"
7692,Reparaciones de Soldaduras
7699,Talleres de Reparaciones Miscelaneas y Servicios Relacionados
780,Servicios de Horticultura y Jardineria Paisajista
7829,Produccion y Distribucion de Peliculas y Cintas de Video2
7832,Teatros de Peliculas
7841,Tiendas de Alquiler de Videos de Entretenimiento
7911,"Salones, Escuelas y Estudios de Baile"
7922,"Productores de Teatro (excepto Peliculas), Agencias Taquilleras"
7929,Grupos Musicales-no clasificados en otro lugar
7932,Establecimientos de Juegos de Billar
7933,Boleras
7941,Campos de Atletismo
7991,Atracciones Turisticas y Exposiciones
7992,"Campos de Golf, Publicos"
7993,Materiales para Juegos de Diversiones de Video
7994,Galerias/Establecimientos de Juegos de Video
7995,Transacciones de Juegos de Azar
7996,Parques de Diversiones
7997,"Clubes-Membresia (Atleticos, Recreacionales, Deportivos),"
7998,Acuarios
7999,Servicios Recreativos-no clasificados en otro lugar
8011,Doctores-no clasificados en otro lugar
